KeyboardKey,Shorten
Backspace,Back
Tab,Tab
Clear,Clear
Return,↵
Pause,Pause
Escape,ESC
Space,Space
Exclaim,!
DoubleQuote,""""
Hash,#
Dollar,$
Percent,%
Ampersand,&
Quote,'
LeftParen,(
RightParen,)
Asterisk,*
Plus,+
Comma,","
Minus,-
Period,.
Slash,/
Alpha0,0
Alpha1,1
Alpha2,2
Alpha3,3
Alpha4,4
Alpha5,5
Alpha6,6
Alpha7,7
Alpha8,8
Alpha9,9
Colon,:
Semicolon,;
Less,<
Equals,=
Greater,>
Question,?
At,@
LeftBracket,[
Backslash,\
RightBracket,]
Caret,^
Underscore,_
BackQuote,`
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
LeftCurlyBracket,{
Pipe,|
RightCurlyBracket,}
Tilde,~
Delete,Del
Keypad0,Kp0
Keypad1,Kp1
Keypad2,Kp2
Keypad3,Kp3
Keypad4,Kp4
Keypad5,Kp5
Keypad6,Kp6
Keypad7,Kp7
Keypad8,Kp8
Keypad9,Kp9
KeypadPeriod,Kp.
KeypadDivide,Kp/
KeypadMinus,Kp-
KeypadPlus,Kp+
KeypadEnter,Kp↵
KeypadEquals,Kp=
UpArrow,↑
DownArrow,↓
RightArrow,→
LeftArrow,←
Insert,Ins
Home,Home
PageUp,PgUp
PageDown,PgDn
F1,F1
F2,F2
F3,F3
F4,F4
F5,F5
F6,F6
F7,F7
F8,F8
F9,F9
F10,F10
F11,F11
F12,F12
F13,F13
F14,F14
F15,F15
Numlock,Num
CapsLock,Caps
ScrollLock,ScrLK
RightShift,R.Shift
LeftShift,L.Shift
RightControl,R.Ctrl
LeftControl,L.Ctrl
RightAlt,R.Alt
LeftAlt,L.Alt
RightCommand,R.Cmd
RightApple,R.Cmd
LeftCommand,L.Cmd
LeftApple,L.Cmd
LeftWindows,L.Win
RightWindows,R.Win
AltGr,R.Alt
Help,Help
Print,Print
SysReq,SysRq
Break,Break
Menu,Menu
Mouse0,L.Click
Mouse1,R.Click
Mouse2,W.Click
